time;position;tas;heading_angle;climb_angle;
51.43s;38°48'37.060307"N 9°4'32.548194"W 30357.14ft;701.9km/h;35.45°;0.62°;
102.86s;38°53'1.624341"N 9°0'30.339997"W 30688.78ft;703.6km/h;35.49°;0.58°;
154.29s;38°57'26.598765"N 8°56'27.124963"W 30996.72ft;705.1km/h;35.53°;0.53°;
205.71s;39°1'51.845078"N 8°52'23.023943"W 31282.67ft;706.2km/h;35.57°;0.50°;
257.14s;39°6'17.195198"N 8°48'18.186374"W 31548.19ft;706.8km/h;35.62°;0.46°;
308.57s;39°10'42.463551"N 8°44'12.779465"W 31794.75ft;707.0km/h;35.66°;0.43°;
360.00s;39°15'7.460422"N 8°40'6.976046"W 32023.70ft;706.7km/h;35.70°;0.40°;
411.43s;39°19'32.005580"N 8°36'0.941970"W 32236.29ft;705.8km/h;35.75°;0.37°;
462.86s;39°23'55.941210"N 8°31'54.823945"W 32433.70ft;704.6km/h;35.79°;0.34°;
514.29s;39°28'19.143213"N 8°27'48.738708"W 32617.00ft;703.0km/h;35.83°;0.32°;
565.71s;39°32'41.530067"N 8°23'42.764306"W 32787.22ft;701.2km/h;35.88°;0.30°;
617.14s;39°37'3.068609"N 8°19'36.934142"W 32945.27ft;699.4km/h;35.92°;0.28°;
668.57s;39°41'23.776326"N 8°15'31.234213"W 33092.04ft;697.5km/h;35.96°;0.26°;
720.00s;39°45'43.719994"N 8°11'25.603764"W 33228.32ft;695.9km/h;36.01°;0.24°;
771.43s;39°50'3.010772"N 8°7'19.939320"W 33354.87ft;694.5km/h;36.05°;0.22°;
822.86s;39°54'21.796099"N 8°3'14.101824"W 33472.38ft;693.6km/h;36.10°;0.21°;
874.29s;39°58'40.248986"N 7°59'7.926369"W 33581.50ft;693.1km/h;36.14°;0.19°;
925.71s;40°2'58.555481"N 7°55'1.233840"W 33682.82ft;693.1km/h;36.18°;0.18°;
977.14s;40°7'16.901202"N 7°50'53.843623"W 33776.90ft;693.6km/h;36.23°;0.17°;
1028.57s;40°11'35.457921"N 7°46'45.586477"W 33864.27ft;694.5km/h;36.27°;0.15°;
1080.00s;40°15'54.371152"N 7°42'36.316635"W 33945.39ft;695.9km/h;36.32°;0.14°;
1131.43s;40°20'13.749652"N 7°38'25.922260"W 34020.72ft;697.5km/h;36.36°;0.13°;
1182.86s;40°24'33.657579"N 7°34'14.333493"W 34090.67ft;699.4km/h;36.41°;0.12°;
1234.29s;40°28'54.109869"N 7°30'1.527510"W 34155.62ft;701.2km/h;36.45°;0.11°;
1285.71s;40°33'15.071173"N 7°25'47.530206"W 34215.93ft;703.0km/h;36.50°;0.10°;
1337.14s;40°37'36.458413"N 7°21'32.414369"W 34271.94ft;704.6km/h;36.54°;0.10°;
1388.57s;40°41'58.146776"N 7°17'16.294468"W 34323.94ft;705.8km/h;36.59°;0.09°;
1440.00s;40°46'19.978710"N 7°12'59.318406"W 34372.23ft;706.7km/h;36.64°;0.08°;
1491.43s;40°50'41.775268"N 7°8'41.656824"W 34417.07ft;707.0km/h;36.68°;0.08°;
1542.86s;40°55'3.348973"N 7°4'23.490717"W 34458.71ft;706.8km/h;36.73°;0.07°;
1594.29s;40°59'24.517295"N 7°0'4.998243"W 34497.37ft;706.2km/h;36.78°;0.07°;
1645.71s;41°3'45.115736"N 6°55'46.341677"W 34533.28ft;705.1km/h;36.83°;0.06°;
1697.14s;41°8'5.009614"N 6°51'27.655449"W 34566.61ft;703.6km/h;36.87°;0.06°;
1748.57s;41°12'24.103674"N 6°47'9.036141"W 34597.57ft;701.9km/h;36.92°;0.05°;
1800.00s;41°16'42.348850"N 6°42'50.535173"W 34626.31ft;700.0km/h;36.97°;0.05°;
1851.43s;41°20'59.745687"N 6°38'32.154717"W 34653.01ft;698.1km/h;37.02°;0.05°;
1902.86s;41°25'16.344190"N 6°34'13.847148"W 34677.79ft;696.4km/h;37.06°;0.04°;
1954.29s;41°29'32.240102"N 6°29'55.518101"W 34700.81ft;694.9km/h;37.11°;0.04°;
2005.71s;41°33'47.567898"N 6°25'37.032909"W 34722.18ft;693.8km/h;37.16°;0.04°;
2057.14s;41°38'2.490993"N 6°21'18.225979"W 34742.02ft;693.2km/h;37.21°;0.03°;
2108.57s;41°42'17.189878"N 6°16'58.912452"W 34760.45ft;693.0km/h;37.25°;0.03°;
2160.00s;41°46'31.849039"N 6°12'38.901289"W 34777.56ft;693.3km/h;37.30°;0.03°;
2211.43s;41°50'46.643604"N 6°8'18.008870"W 34793.45ft;694.2km/h;37.35°;0.03°;
2262.86s;41°55'1.726679"N 6°3'56.072104"W 34808.20ft;695.4km/h;37.40°;0.03°;
2314.29s;41°59'17.218286"N 5°59'32.960117"W 34821.90ft;697.0km/h;37.45°;0.02°;
2365.71s;42°3'33.196702"N 5°55'8.583670"W 34834.62ft;698.8km/h;37.50°;0.02°;
2417.14s;42°7'49.692813"N 5°50'42.901599"W 34846.44ft;700.6km/h;37.55°;0.02°;
2468.57s;42°12'6.687890"N 5°46'15.923832"W 34857.40ft;702.5km/h;37.60°;0.02°;
2520.00s;42°16'24.114951"N 5°41'47.710720"W 34867.59ft;704.1km/h;37.65°;0.02°;
2571.43s;42°20'41.863589"N 5°37'18.368732"W 34877.05ft;705.5km/h;37.70°;0.02°;
2622.86s;42°24'59.787933"N 5°32'48.042805"W 34885.83ft;706.4km/h;37.75°;0.02°;
2674.29s;42°29'17.717142"N 5°28'16.905878"W 34893.99ft;706.9km/h;37.80°;0.01°;
2725.71s;42°33'35.467695"N 5°23'45.146354"W 34901.56ft;706.9km/h;37.85°;0.01°;
2777.14s;42°37'52.856571"N 5°19'12.954386"W 34908.59ft;706.4km/h;37.90°;0.01°;
2828.57s;42°42'9.714374"N 5°14'40.507973"W 34915.12ft;705.5km/h;37.95°;0.01°;
2880.00s;42°46'25.897457"N 5°10'7.959863"W 34921.18ft;704.1km/h;38.00°;0.01°;
2931.43s;42°50'41.298175"N 5°5'35.426216"W 34926.81ft;702.5km/h;38.05°;0.01°;
2982.86s;42°54'55.852526"N 5°1'2.977858"W 34932.04ft;700.6km/h;38.11°;0.01°;
3034.29s;42°59'9.544638"N 4°56'30.634770"W 34936.89ft;698.8km/h;38.16°;0.01°;
3085.71s;43°3'22.407782"N 4°51'58.364222"W 34941.40ft;697.0km/h;38.21°;0.01°;
3137.14s;43°7'34.521844"N 4°47'26.082713"W 34945.59ft;695.4km/h;38.26°;0.01°;
3188.57s;43°11'46.007440"N 4°42'53.661583"W 34949.47ft;694.2km/h;38.31°;0.01°;
3240.00s;43°15'57.017106"N 4°38'20.935920"W 34953.08ft;693.3km/h;38.37°;0.01°;
3291.43s;43°20'7.724201"N 4°33'47.716114"W 34956.43ft;693.0km/h;38.42°;0.01°;
